date;channel;sessions;purchases;revenue;conversion_rate
01/11/2020;google / organic;829;14;773.0;0.016887816646562123
01/11/2020;(direct) / (none);618;14;773.0;0.022653721682847898
01/11/2020;<Other> / <Other>;371;14;773.0;0.037735849056603772
01/11/2020;<Other> / referral;260;14;773.0;0.053846153846153849
01/11/2020;shop.googlemerchandisestore.com / referral;218;14;773.0;0.064220183486238536
01/11/2020;(data deleted) / (data deleted);129;14;773.0;0.10852713178294573
01/11/2020;google / cpc;108;14;773.0;0.12962962962962962
01/11/2020;<Other> / organic;89;14;773.0;0.15730337078651685
01/11/2020;<Other> / (data deleted);3;14;773.0;4.666.666.666.666.660
02/11/2020;google / organic;1107;49;4789.0;0.044263775971093045
02/11/2020;(direct) / (none);832;49;4789.0;0.058894230769230768
02/11/2020;<Other> / <Other>;531;49;4789.0;0.092278719397363471
02/11/2020;<Other> / referral;364;49;4789.0;0.13461538461538461
02/11/2020;shop.googlemerchandisestore.com / referral;328;49;4789.0;0.14939024390243902
02/11/2020;(data deleted) / (data deleted);274;49;4789.0;0.17883211678832117
02/11/2020;google / cpc;176;49;4789.0;0.27840909090909088
02/11/2020;<Other> / organic;112;49;4789.0;0.4375
02/11/2020;<Other> / (data deleted);7;49;4789.0;7.0
03/11/2020;google / organic;1703;49;3313.0;0.028772753963593658
03/11/2020;(direct) / (none);1251;49;3313.0;0.039168665067945641
03/11/2020;<Other> / <Other>;745;49;3313.0;0.065771812080536909
03/11/2020;<Other> / referral;517;49;3313.0;0.094777562862669251
03/11/2020;shop.googlemerchandisestore.com / referral;412;49;3313.0;0.11893203883495146
03/11/2020;(data deleted) / (data deleted);343;49;3313.0;0.14285714285714285
03/11/2020;google / cpc;238;49;3313.0;0.20588235294117646
03/11/2020;<Other> / organic;137;49;3313.0;0.35766423357664234
03/11/2020;<Other> / (data deleted);10;49;3313.0;4.9
04/11/2020;google / organic;1325;46;2197.0;0.03471698113207547
04/11/2020;(direct) / (none);968;46;2197.0;0.047520661157024795
04/11/2020;<Other> / <Other>;635;46;2197.0;0.072440944881889763
04/11/2020;<Other> / referral;411;46;2197.0;0.11192214111922141
04/11/2020;shop.googlemerchandisestore.com / referral;379;46;2197.0;0.12137203166226913
04/11/2020;(data deleted) / (data deleted);324;46;2197.0;0.1419753086419753
04/11/2020;google / cpc;171;46;2197.0;0.26900584795321636
04/11/2020;<Other> / organic;123;46;2197.0;0.37398373983739835
04/11/2020;<Other> / (data deleted);7;46;2197.0;65.714.285.714.285.700
04/11/2020;(data deleted) / referral;1;46;2197.0;46.0
05/11/2020;google / organic;1184;26;1792.0;0.021959459459459461
05/11/2020;(direct) / (none);863;26;1792.0;0.030127462340672075
05/11/2020;<Other> / <Other>;480;26;1792.0;0.054166666666666669
05/11/2020;<Other> / referral;360;26;1792.0;0.072222222222222215
05/11/2020;(data deleted) / (data deleted);354;26;1792.0;0.073446327683615822
05/11/2020;shop.googlemerchandisestore.com / referral;351;26;1792.0;0.07407407407407407
05/11/2020;google / cpc;155;26;1792.0;0.16774193548387098
05/11/2020;<Other> / organic;92;26;1792.0;0.28260869565217389
05/11/2020;<Other> / (data deleted);7;26;1792.0;37.142.857.142.857.100
06/11/2020;google / organic;1018;58;3438.0;0.056974459724950882
06/11/2020;(direct) / (none);760;58;3438.0;0.076315789473684212
06/11/2020;<Other> / <Other>;416;58;3438.0;0.13942307692307693
06/11/2020;shop.googlemerchandisestore.com / referral;321;58;3438.0;0.18068535825545171
06/11/2020;<Other> / referral;303;58;3438.0;0.19141914191419143
06/11/2020;(data deleted) / (data deleted);279;58;3438.0;0.2078853046594982
06/11/2020;google / cpc;136;58;3438.0;0.4264705882352941
06/11/2020;<Other> / organic;91;58;3438.0;0.63736263736263732
06/11/2020;<Other> / (data deleted);7;58;3438.0;82.857.142.857.142.800
06/11/2020;(data deleted) / referral;1;58;3438.0;58.0
07/11/2020;google / organic;693;31;2531.0;0.044733044733044736
07/11/2020;(direct) / (none);556;31;2531.0;0.055755395683453238
07/11/2020;<Other> / <Other>;307;31;2531.0;0.10097719869706841
07/11/2020;<Other> / referral;234;31;2531.0;0.13247863247863248
07/11/2020;shop.googlemerchandisestore.com / referral;185;31;2531.0;0.16756756756756758
07/11/2020;(data deleted) / (data deleted);150;31;2531.0;0.20666666666666667
07/11/2020;google / cpc;106;31;2531.0;0.29245283018867924
07/11/2020;<Other> / organic;52;31;2531.0;0.59615384615384615
08/11/2020;google / organic;663;32;3760.0;0.048265460030165915
08/11/2020;(direct) / (none);485;32;3760.0;0.065979381443298971
08/11/2020;<Other> / <Other>;312;32;3760.0;0.10256410256410256
08/11/2020;<Other> / referral;217;32;3760.0;0.14746543778801843
08/11/2020;shop.googlemerchandisestore.com / referral;200;32;3760.0;0.16
08/11/2020;(data deleted) / (data deleted);144;32;3760.0;0.22222222222222221
08/11/2020;google / cpc;89;32;3760.0;0.3595505617977528
08/11/2020;<Other> / organic;57;32;3760.0;0.56140350877192979
08/11/2020;<Other> / (data deleted);3;32;3760.0;10.666.666.666.666.600
09/11/2020;google / organic;990;52;2154.0;0.052525252525252523
09/11/2020;(direct) / (none);800;52;2154.0;0.065
09/11/2020;<Other> / <Other>;459;52;2154.0;0.11328976034858387
09/11/2020;<Other> / referral;297;52;2154.0;0.17508417508417509
09/11/2020;shop.googlemerchandisestore.com / referral;274;52;2154.0;0.18978102189781021
09/11/2020;(data deleted) / (data deleted);240;52;2154.0;0.21666666666666667
09/11/2020;google / cpc;123;52;2154.0;0.42276422764227645
09/11/2020;<Other> / organic;91;52;2154.0;0.5714285714285714
09/11/2020;<Other> / (data deleted);8;52;2154.0;6.5
10/11/2020;google / organic;1162;64;4041.0;0.055077452667814115
10/11/2020;(direct) / (none);861;64;4041.0;0.0743321718931475
10/11/2020;<Other> / <Other>;524;64;4041.0;0.12213740458015267
10/11/2020;<Other> / referral;393;64;4041.0;0.16284987277353691
10/11/2020;shop.googlemerchandisestore.com / referral;353;64;4041.0;0.18130311614730879
10/11/2020;(data deleted) / (data deleted);280;64;4041.0;0.22857142857142856
10/11/2020;google / cpc;159;64;4041.0;0.40251572327044027
10/11/2020;<Other> / organic;96;64;4041.0;0.66666666666666663
10/11/2020;<Other> / (data deleted);7;64;4041.0;91.428.571.428.571.400
11/11/2020;google / organic;1198;64;4428.0;0.053422370617696162
11/11/2020;(direct) / (none);845;64;4428.0;0.0757396449704142
11/11/2020;<Other> / <Other>;532;64;4428.0;0.12030075187969924
11/11/2020;<Other> / referral;350;64;4428.0;0.18285714285714286
11/11/2020;shop.googlemerchandisestore.com / referral;315;64;4428.0;0.20317460317460317
11/11/2020;(data deleted) / (data deleted);295;64;4428.0;0.21694915254237288
11/11/2020;google / cpc;180;64;4428.0;0.35555555555555557
11/11/2020;<Other> / organic;98;64;4428.0;0.65306122448979587
11/11/2020;<Other> / (data deleted);7;64;4428.0;91.428.571.428.571.400
12/11/2020;google / organic;1091;54;3349.0;0.049495875343721359
12/11/2020;(direct) / (none);887;54;3349.0;0.060879368658399095
12/11/2020;<Other> / <Other>;488;54;3349.0;0.11065573770491803
12/11/2020;<Other> / referral;359;54;3349.0;0.15041782729805014
12/11/2020;shop.googlemerchandisestore.com / referral;351;54;3349.0;0.15384615384615385
12/11/2020;(data deleted) / (data deleted);290;54;3349.0;0.18620689655172415
12/11/2020;google / cpc;134;54;3349.0;0.40298507462686567
12/11/2020;<Other> / organic;96;54;3349.0;0.5625
12/11/2020;<Other> / (data deleted);6;54;3349.0;9.0
13/11/2020;google / organic;1018;79;5831.0;0.077603143418467579
13/11/2020;(direct) / (none);827;79;5831.0;0.095525997581620309
13/11/2020;<Other> / <Other>;462;79;5831.0;0.170995670995671
13/11/2020;<Other> / referral;314;79;5831.0;0.25159235668789809
